monitorId,attribute1,attribute2,attribute3,attribute4,time
org.zend.wizardUsageMonitor,16,New PHP Project,,"c1l=Location:;c1t=D:\\wamp\\www;ce=true;ct=__invalid__;we=16;ws=33554692;wst=New PHP Project;wt=combo;",1439463277401
org.zend.wizardUsageMonitor,13,New PHP Project,,"bs=true;bt=Basic          ;bt1=16;ce=true;ct=__invalid__;we=13;ws=33570832;wst=New PHP Project;wt=button;",1439463279152
